Marital_status,Application_mode,Application_order,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Course_group,Is_local,Mother_edu_level,Father_edu_level,Mother_job,Father_job,Parental_education_gap,Is_both_parents_employed,Status_num,Marital_status_name,Gender_name,Scholarship_holder_name,Status_name
0,7,5,1,0,122.0,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0,1,1,1,3,0,0,7,1,0.0,Single,Male,Tidak Beasiswa,Dropout
0,5,1,1,0,160.0,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,2,2,1,0,0,0,0,-2,1,1.0,Single,Male,Tidak Beasiswa,Graduate
0,0,5,1,0,122.0,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0,2,1,2,2,0,0,0,1,0.0,Single,Male,Tidak Beasiswa,Dropout
0,7,2,1,0,122.0,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,2,2,1,2,2,0,0,1,1,1.0,Single,Female,Tidak Beasiswa,Graduate
1,11,1,0,0,100.0,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.33333333,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,2,3,1,2,2,0,0,-1,1,1.0,Married,Female,Tidak Beasiswa,Graduate
1,11,1,0,11,133.1,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,2,4,1,2,2,0,0,0,1,1.0,Married,Male,Tidak Beasiswa,Graduate
0,0,1,1,0,142.0,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,2,2,1,1,2,0,1,-19,1,1.0,Single,Female,Beasiswa,Graduate
0,8,4,1,0,119.0,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,0,2,1,2,2,0,0,0,1,0.0,Single,Male,Tidak Beasiswa,Dropout
0,0,3,1,0,137.0,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,2,2,0,0,0,0,0,0,1,1.0,Single,Female,Beasiswa,Graduate
0,0,1,1,0,138.0,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,0,2,1,0,1,0,0,-18,1,0.0,Single,Female,Tidak Beasiswa,Dropout
0,0,1,1,0,139.0,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,2,2,1,2,1,0,0,19,1,1.0,Single,Female,Tidak Beasiswa,Graduate
0,0,1,1,0,136.0,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,2,2,1,1,2,0,0,-19,1,1.0,Single,Female,Beasiswa,Graduate
0,0,2,1,0,133.0,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0,4,1,1,2,0,0,-18,1,0.0,Single,Female,Tidak Beasiswa,Dropout
0,16,1,1,15,110.0,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11.0,0,8.9,1.4,3.51,2,2,1,0,0,0,0,0,1,1.0,Single,Female,Beasiswa,Graduate
0,0,1,1,0,149.0,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,2,2,1,2,2,0,0,1,1,1.0,Single,Female,Beasiswa,Graduate
0,0,1,1,0,127.0,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,0,2,1,1,2,0,0,-18,1,0.0,Single,Female,Tidak Beasiswa,Dropout
0,8,1,1,0,137.0,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,1,2,1,1,2,0,0,-19,1,,Single,Female,Tidak Beasiswa,Enrolled
0,7,2,1,0,135.0,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,2,2,1,1,0,0,0,18,1,1.0,Single,Female,Tidak Beasiswa,Graduate
0,0,1,1,0,137.0,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,2,0,1,0,1,0,0,-16,1,1.0,Single,Female,Tidak Beasiswa,Graduate
0,0,1,1,0,140.0,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,1,4,1,1,1,0,0,0,1,,Single,Female,Tidak Beasiswa,Enrolled
0,0,3,1,0,122.0,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,2,1,1,0,0,0,0,0,1,1.0,Single,Female,Beasiswa,Graduate
0,8,4,1,0,127.0,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,1,2,1,0,2,0,0,-37,1,,Single,Female,Tidak Beasiswa,Enrolled
0,0,4,1,0,142.0,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,2,2,1,1,1,0,0,0,1,1.0,Single,Female,Tidak Beasiswa,Graduate
0,0,4,1,0,125.0,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,2,2,1,0,2,0,0,-37,1,1.0,Single,Female,Beasiswa,Graduate
0,0,1,1,0,126.0,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,2,2,1,1,1,0,0,0,1,1.0,Single,Female,Tidak Beasiswa,Graduate
0,0,1,1,0,151.0,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,1,2,1,1,2,0,0,-19,1,,Single,Female,Beasiswa,Enrolled
0,7,2,1,0,115.0,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,2,2,1,1,2,0,0,-19,1,1.0,Single,Female,Tidak Beasiswa,Graduate
0,0,1,1,0,138.0,131.0,1,0,0,1,0,0,18,0,0,5,9,5,12.66666667,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,1,2,1,1,1,0,0,0,1,,Single,Female,Tidak Beasiswa,Enrolled
0,0,1,1,0,135.0,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,2,0,1,1,0,0,0,18,1,1.0,Single,Female,Tidak Beasiswa,Graduate
